BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2023-03-31,НижгорОб11,RU000A0JWLD0,10.0,50735.84,100.71,101.05,100.96,100.96,5.55,100.97,5.93,101.05,201.0,,100.9,,0.0,546140.4,,2023-06-22,81.0,5.89,,,10.25,6.39,,2023-03-31,250.0,SUR,,,,,RUB,3
TQCB,2023-03-31,СамарОбл12,RU000A0JWM56,9.0,12127.1,100.86,101.47,100.9,100.9,0.92,101.06,8.79,101.46,24.0,,101.21,,0.0,500462.2,,2024-06-21,301.0,8.58,,,9.64,12.02,,2023-03-31,500.0,SUR,,,,,RUB,3
TQCB,2023-03-31,МОСТРЕСТ 7,RU000A0JWN63,13.0,50328.2,65.09,65.79,65.44,65.58,0.02,65.36,13.89,65.12,77.0,,64.86,,0.0,507202.0,,2026-07-07,1194.0,13.93,,,0.01,0.05,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,МОСТРЕСТ 8,RU000A0JWN89,4.0,2621.0,65.44,65.78,65.44,65.44,0.02,65.53,13.62,65.78,4.0,,64.1,,0.0,509627.4,,2026-07-29,1216.0,13.58,,,0.01,0.05,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ТрнфБО1P3,RU000A0JWPW1,22.0,154844.2,100.26,100.6,100.6,100.58,14.76,100.55,7.68,100.29,154.0,,100.53,,0.0,506663.0,,2023-08-03,125.0,7.84,,,9.45,47.12,,2023-03-31,1000.0,SUR,,,7.3148,,RUB,3
TQCB,2023-03-31,МТС БО-02,RU000A0JWRV9,3.0,5811.0,93.47,98.01,95.59,95.59,5.99,96.85,8.14,98.01,6.0,,95.91,,0.0,501621.3,,2031-08-15,976.0,7.62,,,6.25,31.16,2026-02-20,2023-03-31,1000.0,SUR,,8.0761,,2026-02-26,RUB,3
TQCB,2023-03-31,ГТЛК БО-08,RU000A0JWST1,44.0,139773.2,94.4,94.5,94.49,94.49,5.4,94.44,11.81,94.46,148.0,,94.46,,0.0,625349.0,,2026-09-01,661.0,11.84,,,8.21,40.94,2025-03-04,2023-03-31,1000.0,SUR,,11.7062,,2025-03-07,RUB,3
TQCB,2023-03-31,ТамбовОбл2,RU000A0JWT75,2.0,1259.65,100.69,101.1,101.1,101.1,0.59,100.77,7.36,100.69,5.0,,101.09,,0.0,521144.54,,2023-09-20,171.0,8.12,,,9.6,5.98,,2023-03-31,250.0,SUR,,,,,RUB,3
TQCB,2023-03-31,Удмурт2016,RU000A0JWT91,9.0,29694.8,102.31,103.71,102.31,102.31,1.73,102.4,9.99,103.71,29.0,,102.18,,0.0,633520.7,,2026-09-19,944.0,9.96,,,10.55,26.3,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,РСХБ 08Т1,RU000A0JWV63,327.0,6026937.3,104.91,106.02,105.58,105.58,0.78,105.33,12.6,104.91,5722.0,105.33,105.33,,6026937.3,6026937.3,,,1051.0,12.7,,,14.25,71.05,2026-09-23,2023-03-31,1000.0,SUR,,,,,RUB,3
