BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2023-03-10,ГАЗ ао,GAZA,457.0,5430495.0,452.0,448.0,514.0,460.0,484.0,460.0,11220.0,484.0,484.0,,5430495.0,5430495.0,,0.0,3
TQBR,2023-03-10,ГАЗ ап,GAZAP,411.0,3464045.0,344.0,324.0,353.0,342.0,338.5,342.0,10240.0,338.5,338.5,,3464045.0,3464045.0,,0.0,3
SMAL,2023-03-10,ГАЗПРОМ ао,GAZP,18.0,6080.98,159.29,159.28,160.99,,160.31,159.5,38.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,ГАЗПРОМ ао,GAZP,50840.0,2764175212.1,160.5,159.51,161.29,160.2,160.31,160.04,17242280.0,160.34,160.34,,2512627712.6,2512627712.6,,0.0,3
TQBR,2023-03-10,ЧеркизГ-ао,GCHE,915.0,11699613.0,2955.5,2929.0,2962.0,2942.5,2949.0,2942.5,3967.0,2949.0,2949.0,,11699613.0,11699613.0,,0.0,3
TQBR,2023-03-10,iММЦБ ао,GEMA,109.0,465872.5,831.5,831.0,845.0,833.5,839.5,841.5,555.0,,839.0,,0.0,510800.5,,0.0,3
TQBR,2023-03-10,GEMC-гдр,GEMC,1319.0,8146060.3,341.9,335.2,342.7,338.2,339.0,338.2,24032.0,339.0,339.0,,8146060.3,8146060.3,,0.0,3
TQBR,2023-03-10,GLTR-гдр,GLTR,4730.0,27958764.55,360.65,356.2,361.3,358.9,358.45,357.75,77998.0,358.45,358.45,,26211883.0,26211883.0,,0.0,3
TQBR,2023-03-10,ГМКНорНик,GMKN,8458.0,636142466.0,14550.0,14470.0,14660.0,14598.0,14558.0,14576.0,43693.0,14560.0,14560.0,,584098536.0,584098536.0,,0.0,3
TQTF,2023-03-10,GOLD ETF,GOLD,6260.0,31772894.13,1.1615,1.1522,1.17,1.1679,1.1595,1.1695,27402977.0,1.1578,1.1578,,26705718.51,26705718.51,,29092972.84,3
TQTF,2023-03-10,GPBR ETF,GPBR,129.0,43936.8,11.18,11.11,11.22,11.21,11.17,11.21,3934.0,,11.14,,0.0,500223.13,,111892.68,3
TQPI,2023-03-10,ГИТ ао,GRNT,2261.0,8621842.3,0.196,0.193,0.197,0.193,0.1945,0.193,44308300.0,0.1945,0.1945,,8621842.3,8621842.3,,0.0,3
TQTF,2023-03-10,ETF GROD,GROD,34.0,83543.5,609.0,604.5,611.0,611.0,610.0,610.5,137.0,,612.5,,0.0,1009129.0,,364522.39,3
TQBR,2023-03-10,ГТМ ао,GTRK,6257.0,75169631.5,66.35,65.65,70.45,66.1,68.1,66.1,1103650.0,68.1,68.1,,75169631.5,75169631.5,,0.0,3
TQBR,2023-03-10,iHHRU-адр,HHRU,798.0,5944322.0,1309.0,1297.0,1332.0,1308.0,1317.0,1320.0,4515.0,1317.0,1317.0,,5787512.0,5787512.0,,0.0,3
TQBR,2023-03-10,Химпром ап,HIMCP,426.0,3158943.0,11.96,11.6,12.5,11.93,12.06,12.02,261900.0,12.06,12.06,,3158943.0,3158943.0,,0.0,3
TQBR,2023-03-10,HMSG-гдр,HMSG,243.0,1271560.0,99.5,92.0,109.0,98.5,102.0,99.0,12450.0,102.0,102.0,,1271560.0,1271560.0,,0.0,3
SMAL,2023-03-10,РусГидро,HYDR,22.0,871.0,0.8,0.7749,0.8049,,0.7784,0.8049,1112.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,РусГидро,HYDR,3681.0,40029164.8,0.7819,0.7719,0.7842,0.7837,0.7784,0.7809,51428000.0,0.7782,0.7782,,37074438.7,37074438.7,,0.0,3
TQBR,2023-03-10,Ижсталь2ао,IGST,29.0,207782.0,4044.0,4044.0,4096.0,4064.0,4074.0,4064.0,51.0,,4080.0,,0.0,501782.0,,0.0,3
TQBR,2023-03-10,Ижсталь ап,IGSTP,79.0,829988.0,3520.0,3480.0,3520.0,3506.0,3502.0,3506.0,237.0,3502.0,3502.0,,829988.0,829988.0,,0.0,3
TQTF,2023-03-10,INFL ETF,INFL,47.0,577969.78,120.74,120.06,121.18,120.38,120.22,120.38,4808.0,120.22,120.22,,577969.78,577969.78,,497089.15,3
TQTF,2023-03-10,INGO ETF,INGO,403.0,1796324.7,112.55,112.4,112.9,112.7,112.85,112.85,15918.0,112.85,112.85,,1796324.7,1796324.7,,2786131.21,3
TQBR,2023-03-10,ИНГРАД ао,INGR,704.0,17177359.0,1813.0,1783.0,1816.0,1796.0,1795.0,1796.0,9569.0,1795.0,1795.0,,17177359.0,17177359.0,,0.0,3
TQTF,2023-03-10,INRU ETF,INRU,7.0,11945.8,102.9,102.6,103.1,102.6,103.0,102.6,116.0,,101.0,,0.0,703281.6,,117674.37,3
SMAL,2023-03-10,ИнтерРАОао,IRAO,12.0,502.92,3.41,3.368,3.495,,3.3715,3.4935,147.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,ИнтерРАОао,IRAO,21402.0,261852581.8,3.3875,3.359,3.39,3.375,3.3715,3.378,77669500.0,3.371,3.371,,238726235.9,238726235.9,,0.0,3
SMAL,2023-03-10,ИРКУТ-3,IRKT,1.0,252.0,63.0,63.0,63.0,,61.58,63.0,4.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,ИРКУТ-3,IRKT,970.0,17922020.0,61.7,61.14,62.14,61.3,61.58,61.3,291000.0,61.58,61.58,,17922020.0,17922020.0,,0.0,3
SMAL,2023-03-10,iИСКЧ ао,ISKJ,2.0,963.12,80.26,80.26,80.26,,109.0,80.26,12.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,iИСКЧ ао,ISKJ,11923.0,290569173.4,108.0,106.62,110.84,107.4,109.0,107.4,2665680.0,109.0,109.0,,290569173.4,290569173.4,,0.0,3
TQBR,2023-03-10,Славн-ЯНОС,JNOS,360.0,1907395.0,19.1,19.1,21.35,20.55,20.2,20.55,94400.0,20.2,20.2,,1907395.0,1907395.0,,0.0,3
TQBR,2023-03-10,Слав-ЯНОСп,JNOSP,300.0,3319110.0,12.18,11.62,12.38,12.34,12.14,12.34,273200.0,12.14,12.14,,3319110.0,3319110.0,,0.0,3
TQBR,2023-03-10,Куйбазот,KAZT,565.0,11320270.0,556.0,549.4,559.4,556.8,554.4,556.8,20420.0,554.4,554.4,,11320270.0,11320270.0,,0.0,3
SMAL,2023-03-10,Куйбазот-п,KAZTP,2.0,6560.0,656.0,656.0,656.0,,556.2,656.0,10.0,,,,0.0,0.0,,0.0,3
